lid,nid1,nid2,length,width
1,1,2,28.396,4
2,2,3,50.331,4
3,3,4,43.323,4
4,4,5,64.234,4
5,5,6,33.406,4
6,6,7,12.644,4
7,7,8,37.911,4
8,8,9,33.507,4
9,9,10,16.37,4
10,10,11,5.104,4
11,11,12,33.263,4
12,12,13,25.78,4
13,13,14,21.525,4
14,14,15,18.404,4
15,15,16,51.664,4
16,16,17,42.13,4
17,17,18,6.095,4
18,18,19,6.303,4
19,19,20,33.044,4
20,20,21,32.878,4
21,21,22,4.882,4
22,22,23,56.103,4
23,24,25,6.586,4
24,25,26,58.289,4
25,26,27,23.683,4
26,27,28,84.725,4
27,28,29,53.536,4
28,29,30,55.197,4
29,30,31,7.113,4
30,31,32,5.675,4
31,32,33,60.589,4
32,33,34,26.29,4
33,34,35,40.708,4
34,35,36,5.238,4
35,36,37,5.522,4
36,37,38,20.876,4
37,38,39,49.732,4
38,39,40,5.806,4
39,40,41,34.368,4
40,41,42,44.17,4
41,42,43,8.411,4
42,43,44,8.249,4
43,44,45,7.298,4
44,45,46,57.535,4
45,46,47,52.036,4
46,47,48,19.111,4
47,48,49,6.664,4
48,49,50,67.08,4
49,50,51,87.16,4
50,52,53,16.313,4
51,53,54,29.797,4
52,54,55,30.562,4
53,55,56,25.267,4
54,46,57,68.49,4
55,57,58,52.762,4
56,58,59,28.425,4
57,59,60,28.649,4
58,60,61,52.337,4
59,61,62,33.296,4
60,62,63,36.989,4
61,63,64,5.75,4
62,64,65,5.221,4
63,65,66,53.279,4
64,67,68,38.938,4
65,68,69,51.062,4
66,69,70,3.506,4
67,70,71,35.201,4
68,71,72,5.324,4
69,72,73,3.351,4
70,73,74,19.255,4
71,74,75,18.045,4
72,75,76,11.419,4
73,76,77,31.645,4
74,77,78,40.062,4
75,78,79,14.824,4
76,79,80,26.089,4
77,59,80,80.64,4
78,51,59,81.175,4
79,81,82,16.388,4
80,82,83,12.609,4
81,83,84,12.727,4
82,84,85,9.608,4
83,85,86,25.55,4
84,86,87,46.704,4
85,87,88,31.659,4
86,88,89,40.908,4
87,1,89,51.279,4
88,1,90,11.887,4
89,90,91,31.609,4
90,91,92,17.042,4
91,92,93,48.373,4
92,94,95,33.477,4
93,95,96,2.143,4
94,96,97,31.438,4
95,98,99,3.969,4
96,99,100,1.291,4
97,100,101,22.507,4
98,101,102,36.332,4
99,102,103,16.079,4
100,103,104,17.499,4
101,104,105,25.516,4
102,105,106,21.97,4
103,106,107,14.006,4
104,107,108,39.556,4
105,108,109,15.782,4
106,109,110,72.323,4
107,111,112,4.839,4
108,112,113,1.501,4
109,113,114,52.798,4
110,114,115,36.262,4
111,115,116,42.968,4
112,116,117,4.052,4
113,117,118,11.223,4
114,105,118,45.691,4
115,119,120,37.373,4
116,120,121,20.464,4
117,121,122,19.718,4
118,122,123,23.496,4
119,123,124,7.37,4
120,124,125,8.877,4
121,125,126,7.793,4
122,126,127,7.683,4
123,127,128,8.639,4
124,128,129,37.493,4
125,129,130,29.148,4
126,130,131,19.822,4
127,131,132,45.917,4
128,132,133,6.144,4
129,133,134,44.841,4
130,134,135,42.912,4
131,135,136,33.598,4
132,136,137,63.741,4
133,137,138,57.503,4
134,138,139,5.134,4
135,140,141,61.99,4
136,86,141,34.234,4
137,86,142,38.456,4
138,142,143,34.071,4
139,143,144,40.332,4
140,144,145,0.922,4
141,145,146,13.364,4
142,146,147,10.406,4
143,147,148,8.731,4
144,148,149,8.245,4
145,149,150,5.538,4
146,150,151,5.524,4
147,151,152,8.306,4
148,152,153,8.41,4
149,153,154,16.214,4
150,154,155,21.029,4
151,156,157,1.256,4
152,157,158,3.2,4
