nid,X,Y,lid1,lid2,lid3,lid4,lid5
1,-19621.7335,-31651.926,1,87,88,,
2,-19626.023,-31623.8619,1,2,1915,,
3,-19632.7611,-31573.9943,2,3,,,
4,-19638.8995,-31531.1167,3,4,,,
5,-19647.4526,-31467.4674,4,5,,,
6,-19649.7852,-31434.1494,5,6,,,
7,-19650.4267,-31421.524,6,7,,,
8,-19652.3603,-31383.6698,7,8,,,
9,-19654.557,-31350.2412,8,9,,,
10,-19655.6246,-31333.9097,9,10,,,
11,-19655.9571,-31328.8172,10,11,,,
12,-19658.1362,-31295.6327,11,12,,,
13,-19660.7481,-31269.9906,12,13,,,
14,-19661.6684,-31248.49,13,14,,,
15,-19662.46,-31230.1069,14,15,,,
16,-19676.1544,-31180.3015,15,16,,,
17,-19687.318,-31139.6868,16,17,,,
18,-19688.0645,-31133.6394,17,18,,,
19,-19687.9782,-31127.3386,18,19,,,
20,-19687.5159,-31094.3042,19,20,,,
21,-19687.0541,-31061.4361,20,21,,,
22,-19686.989,-31056.5553,21,22,,,
23,-19684.5217,-31000.518,22,,,,
24,-20381.2593,-31891.6357,23,,,,
25,-20374.6922,-31892.1167,23,24,,,
26,-20316.5745,-31896.4209,24,25,,,
27,-20292.9376,-31897.8061,25,26,,,
28,-20208.3484,-31902.2588,26,27,,,
29,-20155.1097,-31907.7822,27,28,,,
30,-20100.0296,-31911.1795,28,29,,,
31,-20092.9185,-31911.1401,29,30,,,
32,-20087.2463,-31911.2861,30,31,,,
33,-20026.7938,-31907.418,31,32,,,
34,-20000.6152,-31905.0587,32,33,,,
35,-19959.9709,-31902.9426,33,34,,,
36,-19954.7586,-31902.4329,34,35,,,
37,-19949.2836,-31901.7242,35,36,,,
38,-19928.4717,-31900.1513,36,37,,,
39,-19878.8504,-31897.0011,37,38,,,
40,-19873.0682,-31896.4927,38,39,,,
41,-19838.7924,-31894.0733,39,40,,,
42,-19794.7442,-31890.9324,40,41,,,
43,-19786.3562,-31890.341,41,42,,,
44,-19778.1311,-31889.7381,42,43,,,
45,-19770.8386,-31889.5103,43,44,,,
46,-19713.4445,-31885.6665,44,45,54,,
47,-19717.4729,-31833.7971,45,46,1921,,
48,-19718.9505,-31814.7468,46,47,,,
49,-19719.5509,-31808.1118,47,48,,,
50,-19652.7351,-31802.3251,48,49,1665,1666,
51,-19565.8776,-31795.2952,49,78,389,1569,
52,-19423.0936,-32202.7497,50,313,1793,1794,
53,-19428.6875,-32187.429,50,51,,,
54,-19435.2647,-32158.3727,51,52,,,
55,-19443.379,-32128.9137,52,53,270,,
56,-19447.079,-32103.9238,53,350,1933,,
57,-19645.1025,-31881.3918,54,55,1663,1664,
58,-19592.4504,-31878.1691,55,56,714,,
59,-19564.0841,-31876.4346,56,57,77,78,
60,-19535.4656,-31875.244,57,58,388,396,
61,-19483.1782,-31873.229,58,59,,,
62,-19450.1842,-31877.6499,59,60,397,,
63,-19413.7657,-31884.0748,60,61,,,
64,-19408.1044,-31885.0745,61,62,200,201,
65,-19402.9494,-31885.8956,62,63,,,
66,-19350.3499,-31894.308,63,456,457,,
67,-19504.1265,-32245.9908,64,1790,1791,,
68,-19516.0963,-32208.9466,64,65,1928,,
69,-19531.7953,-32160.3685,65,66,268,,
70,-19534.6952,-32158.3986,66,67,1670,,
71,-19545.5417,-32124.9178,67,68,,,
72,-19547.494,-32119.9659,68,69,219,220,
